Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
171050 Itacajá;13856;6716;7085,,
171070 Itaguatins;11035;6368;6003,,
171090 Itapiratins;-;3171;3497,,
171110 Itaporã do Tocantins;3652;2473;2433,,
171150 Jaú do Tocantins;-;3085;3497,,
171180 Juarina;-;2324;2226,,
171190 Lagoa da Confusão;-;6112;10102,,
171195 Lagoa do Tocantins;-;2522;3521,,
171200 Lajeado;-;2250;2761,,
171215 Lavandeira;-;1187;1594,,
171240 Lizarda;4142;3727;3716,,
171245 Luzinópolis;-;2002;2617,,
171250 Marianópolis do Tocantins;2333;3329;4343,,
171270 Mateiros;-;1640;2196,,
171280 Maurilândia do Tocantins;-;2814;3154,,
171320 Miracema do Tocantins;20719;23584;20606,,
171330 Miranorte;10871;11760;12602,,
171360 Monte do Carmo;6366;5083;6688,,
171370 Monte Santo do Tocantins;-;1722;2082,,
171395 Muricilândia;-;2456;3049,,
171420 Natividade;10287;8829;8928,,
171430 Nazaré;8963;5086;4372,,
171488 Nova Olinda;7634;9289;10626,,
171500 Nova Rosalândia;3035;3164;3766,,
171510 Novo Acordo;3841;2972;3752,,
171515 Novo Alegre;-;2262;2286,,
171525 Novo Jardim;-;2143;2439,,
171550 Oliveira de Fátima;-;864;1037,,
172100 Palmas;21280;135293;225660,,
171570 Palmeirante;-;3587;4915,,
171380 Palmeiras do Tocantins;-;4602;5716,,
171575 Palmeirópolis;11857;6878;7302,,
171610 Paraíso do Tocantins;28640;35905;44170,,
171620 Paranã;10966;10236;10268,,
171630 Pau D'Arco;-;4284;4537,,
171650 Pedro Afonso;13379;8983;11451,,
171660 Peixe;12825;8690;10337,,
171665 Pequizeiro;3264;4548;5045,,
171700 Pindorama do Tocantins;4923;4466;4446,,
171720 Piraquê;-;2346;2911,,
171750 Pium;8809;5528;6640,,
171780 Ponte Alta do Bom Jesus;6463;4523;4537,,
171790 Ponte Alta do Tocantins;7463;6131;7133,,
171800 Porto Alegre do Tocantins;2069;2371;2780,,
171820 Porto Nacional;42836;44140;48795,,
171830 Praia Norte;6058;6745;7650,,
171840 Presidente Kennedy;6493;3746;3662,,
171845 Pugmil;-;1893;2366,,
171850 Recursolândia;-;3120;3760,,
171855 Riachinho;-;3614;4190,,
171865 Rio da Conceição;-;1186;1708,,
171870 Rio dos Bois;-;2269;2570,,
171875 Rio Sono;6946;6011;6227,,
171880 Sampaio;4365;2793;3863,,
171884 Sandolândia;-;3310;3320,,
171886 Santa Fé do Araguaia;-;5375;6560,,
171888 Santa Maria do Tocantins;-;2225;2884,,
171889 Santa Rita do Tocantins;-;1811;2109,,
171890 Santa Rosa do Tocantins;3820;4119;4551,,
171900 Santa Tereza do Tocantins;3100;2111;2514,,
172000 Santa Terezinha do Tocantins;-;2455;2473,,
172010 São Bento do Tocantins;-;3693;4578,,
172015 São Félix do Tocantins;-;1230;1436,,
172020 São Miguel do Tocantins;-;8432;10454,,
172025 São Salvador do Tocantins;-;2728;2812,,
172030 São Sebastião do Tocantins;4254;3523;4281,,
172049 São Valério;3586;5022;4377,,
172065 Silvanópolis;5878;4688;5054,,
172080 Sítio Novo do Tocantins;7839;9477;9146,,
172085 Sucupira;-;1294;1738,,
172090 Taguatinga;11271;13110;14968,,
172093 Taipas do Tocantins;-;1713;1935,,
172097 Talismã;-;2154;2546,,
172110 Tocantínia;6296;5618;6725,,
172120 Tocantinópolis;30625;22739;22536,,
172125 Tupirama;-;1178;1569,,
172130 Tupiratins;-;1336;2097,,
172208 Wanderlândia;9227;10152;10941,,
172210 Xambioá;11661;12043;11448,,
210005 Açailândia;83302;87853;103702,,
210010 Afonso Cunha;4556;4656;5889,,
210015 Água Doce do Maranhão;-;9501;11565,,
210020 Alcântara;19544;21147;21821,,
210030 Aldeias Altas;19469;18793;23927,,
210040 Altamira do Maranhão;19989;8801;11039,,
210043 Alto Alegre do Maranhão;-;19563;24536,,
210047 Alto Alegre do Pindaré;-;29730;31008,,
210050 Alto Parnaíba;10178;10038;10670,,
210055 Amapá do Maranhão;-;5335;6385,,
210060 Amarante do Maranhão;23056;30805;37664,,
210070 Anajatuba;19524;22827;25236,,
210080 Anapurus;10241;10211;13903,,
210083 Apicum-Açu;-;10804;14889,,
210087 Araguanã;-;8974;13926,,
210090 Araioses;43885;34563;42400,,
210095 Arame;33801;29665;31121,,
210100 Arari;24807;26315;28406,,
210110 Axixá;9323;10117;11391,,
210120 Bacabal;98406;91321;99729,,
210125 Bacabeira;-;10470;14896,,
210130 Bacuri;22179;15401;16563,,
210135 Bacurituba;-;4655;5285,,
210140 Balsas;41542;59811;83154,,
210150 Barão de Grajaú;13494;15259;17816,,
210160 Barra do Corda;90444;77485;82583,,
210170 Barreirinhas;29596;39278;54476,,
210177 Bela Vista do Maranhão;-;9815;12023,,
210173 Belágua;-;5199;6477,,
210180 Benedito Leite;8807;5155;5442,,
210190 Bequimão;21346;19591;20299,,
210193 Bernardo do Mearim;-;5239;5927,,
210197 Boa Vista do Gurupi;-;5097;7884,,
210200 Bom Jardim;40297;34093;38922,,
210203 Bom Jesus das Selvas;-;16526;28088,,
210207 Bom Lugar;-;11352;14787,,
210210 Brejo;27107;27405;33269,,
210215 Brejo de Areia;-;10171;5562,,
210220 Buriti;22827;24087;26942,,
210230 Buriti Bravo;21084;21430;22871,,
210232 Buriticupu;-;48273;65010,,
210235 Buritirana;-;13755;14738,,
210237 Cachoeira Grande;-;7286;8432,,
210240 Cajapió;12034;9616;10569,,
210250 Cajari;16007;13323;18286,,
210255 Campestre do Maranhão;-;11442;13323,,
210260 Cândido Mendes;32000;16226;18430,,
210270 Cantanhede;23247;17660;20442,,
210275 Capinzal do Norte;-;10428;10686,,
210280 Carolina;24559;23882;23834,,
210290 Carutapera;31965;18537;21929,,
210300 Caxias;145368;139457;154664,,
210310 Cedral;15076;9729;10265,,
210312 Central do Maranhão;-;7177;7861,,
210315 Centro do Guilherme;-;6006;12532,,
210317 Centro Novo do Maranhão;-;14491;17556,,
210320 Chapadinha;56747;60943;73155,,
210325 Cidelândia;-;11751;13653,,
210330 Codó;111781;110855;117807,,
210340 Coelho Neto;39550;42145;46674,,
210350 Colinas;35092;35641;39042,,
210355 Conceição do Lago-Açu;-;10557;14404,,
210360 Coroatá;70184;55551;61624,,
210370 Cururupu;41197;33556;32567,,
210375 Davinópolis;-;12268;12549,,
210380 Dom Pedro;19647;21848;22625,,
210390 Duque Bacelar;7484;9317;10640,,
210400 Esperantinópolis;30469;21135;18403,,
210405 Estreito;22960;22847;34520,,
210407 Feira Nova do Maranhão;-;7513;8094,,
210408 Fernando Falcão;-;4805;9227,,
210409 Formosa da Serra Negra;-;13510;17695,,
210410 Fortaleza dos Nogueiras;12367;10978;11623,,
210420 Fortuna;15536;14548;15064,,
210430 Godofredo Viana;27829;6938;10410,,
210440 Gonçalves Dias;16531;16679;17435,,
210450 Governador Archer;10253;9047;10190,,
210455 Governador Edison Lobão;-;10803;15840,,
210460 Governador Eugênio Barros;22669;14559;15963,,
210462 Governador Luiz Rocha;-;6456;7323,,
210465 Governador Newton Bello;-;11657;11889,,
210467 Governador Nunes Freire;-;25813;25377,,
210470 Graça Aranha;5881;6060;6121,,
210480 Grajaú;54162;46501;61876,,
210490 Guimarães;12335;12596;12051,,
210500 Humberto de Campos;20069;21160;26166,,
210510 Icatu;20665;21396;25114,,
