Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
411550 Marumbi;5000;4609;4598,,
411560 Matelândia;17221;14271;15485,,
411570 Matinhos;11291;23843;29205,,
411573 Mato Rico;-;4390;3776,,
411575 Mauá da Serra;-;6407;8534,,
411580 Medianeira;38501;37602;41582,,
411585 Mercedes;-;4596;4996,,
411590 Mirador;2328;2428;2324,,
411600 Miraselva;5218;1961;1854,,
411605 Missal;10279;10333;10449,,
411610 Moreira Sales;16934;13302;12537,,
411620 Morretes;13050;15136;15633,,
411630 Munhoz de Melo;3628;3376;3665,,
411640 Nossa Senhora das Graças;3480;3811;3832,,
411650 Nova Aliança do Ivaí;1199;1337;1414,,
411660 Nova América da Colina;4101;3585;3478,,
411670 Nova Aurora;15373;13582;11818,,
411680 Nova Cantu;11205;9373;7408,,
411690 Nova Esperança;24041;25596;26515,,
411695 Nova Esperança do Sudoeste;-;5214;5082,,
411700 Nova Fátima;8346;8256;8130,,
411705 Nova Laranjeiras;-;11196;11153,,
411710 Nova Londrina;12779;13012;13001,,
411720 Nova Olímpia;5374;5275;5463,,
411725 Nova Prata do Iguaçu;11575;10267;10331,,
411721 Nova Santa Bárbara;-;3611;3894,,
411722 Nova Santa Rosa;6938;6998;7582,,
411727 Nova Tebas;17420;9349;7371,,
411729 Novo Itacolomi;-;2866;2817,,
411730 Ortigueira;27385;24809;23319,,
411740 Ourizona;3736;3386;3378,,
411745 Ouro Verde do Oeste;6319;5451;5682,,
411750 Paiçandu;22126;30717;35860,,
411760 Palmas;34691;33169;42542,,
411770 Palmeira;28876;30603;31971,,
411780 Palmital;24284;16881;14823,,
411790 Palotina;30569;25664;28523,,
411800 Paraíso do Norte;8784;9691;11715,,
411810 Paranacity;8473;9028;10228,,
411820 Paranaguá;106934;126349;139750,,
411830 Paranapoema;2455;2393;2782,,
411840 Paranavaí;70499;75296;81102,,
411845 Pato Bragado;-;4041;4809,,
411850 Pato Branco;55193;61774;71890,,
411860 Paula Freitas;4610;4961;5405,,
411870 Paulo Frontin;6432;6471;6881,,
411880 Peabiru;14047;13367;13538,,
411885 Perobal;-;5264;5650,,
411890 Pérola;15019;9257;10138,,
411900 Pérola d'Oeste;12172;7259;6718,,
411910 Piên;7700;9635;11197,,
411915 Pinhais;-;102184;116235,,
411925 Pinhal de São Bento;-;2560;2611,,
411920 Pinhalão;5710;6201;6203,,
411930 Pinhão;33897;27962;30049,,
411940 Piraí do Sul;19085;21421;23330,,
411950 Piraquara;103539;70252;88326,,
411960 Pitanga;64379;35520;32516,,
411965 Pitangueiras;-;2414;2814,,
411970 Planaltina do Paraná;3771;3714;4081,,
411980 Planalto;15016;14018;13535,,
411990 Ponta Grossa;232258;272250;309763,,
411995 Pontal do Paraná;-;14058;20831,,
412000 Porecatu;17019;15814;13534,,
412010 Porto Amazonas;3566;4194;4489,,
412015 Porto Barreiro;-;3686;3589,,
412020 Porto Rico;3201;2513;2511,,
412030 Porto Vitória;3741;3993;3957,,
412033 Prado Ferreira;-;3152;3408,,
412035 Pranchita;8575;6159;5594,,
412040 Presidente Castelo Branco;3624;4291;4752,,
412050 Primeiro de Maio;11857;10629;10796,,
412060 Prudentópolis;46737;45351;48112,,
412065 Quarto Centenário;-;5323;4854,,
412070 Quatiguá;5759;6724;7017,,
412080 Quatro Barras;9955;16128;19748,,
412085 Quatro Pontes;-;3629;3778,,
412090 Quedas do Iguaçu;30742;24903;30452,,
412100 Querência do Norte;9447;11062;11465,,
412110 Quinta do Sol;5580;5062;5062,,
412120 Quitandinha;14384;15197;17023,,
412125 Ramilândia;-;3273;4122,,
412130 Rancho Alegre;4492;4195;3946,,
412135 Rancho Alegre D'Oeste;-;3113;2847,,
412140 Realeza;17031;15908;16251,,
412150 Rebouças;12874;13426;14143,,
412160 Renascença;7498;6323;6757,,
412170 Reserva;24792;23713;25080,,
412175 Reserva do Iguaçu;-;6334;7248,,
412180 Ribeirão Claro;11298;10814;10621,,
412190 Ribeirão do Pinhal;13334;14242;13398,,
412200 Rio Azul;12317;12678;13948,,
412210 Rio Bom;4175;3512;3287,,
412215 Rio Bonito do Iguaçu;-;11867;13543,,
412217 Rio Branco do Ivaí;-;3742;3882,,
412220 Rio Branco do Sul;38211;29206;30616,,
412230 Rio Negro;26217;28539;31108,,
412240 Rolândia;43559;49314;57683,,
412250 Roncador;17557;13610;11440,,
412260 Rondon;8615;8494;8978,,
412265 Rosário do Ivaí;9853;6547;5560,,
412270 Sabáudia;5273;5413;6085,,
412280 Salgado Filho;13742;5318;4385,,
412290 Salto do Itararé;6331;5541;5148,,
412300 Salto do Lontra;14253;12594;13639,,
412310 Santa Amélia;4599;4364;3795,,
412320 Santa Cecília do Pavão;8633;4044;3630,,
412330 Santa Cruz de Monte Castelo;10175;8390;8014,,
412340 Santa Fé;8669;8847;10390,,
412350 Santa Helena;18781;20218;23315,,
412360 Santa Inês;2044;2051;1811,,
412370 Santa Isabel do Ivaí;12793;9129;8717,,
412380 Santa Izabel do Oeste;12423;11551;13078,,
412382 Santa Lúcia;-;3993;3923,,
412385 Santa Maria do Oeste;-;13080;11472,,
412390 Santa Mariana;14671;13443;12412,,
412395 Santa Mônica;-;3188;3553,,
412402 Santa Tereza do Oeste;6087;10335;10326,,
412405 Santa Terezinha de Itaipu;13748;18299;20766,,
412400 Santana do Itararé;6019;5610;5222,,
412410 Santo Antônio da Platina;38514;39751;42504,,
412420 Santo Antônio do Caiuá;3104;2858;2725,,
412430 Santo Antônio do Paraíso;2486;2505;2397,,
412440 Santo Antônio do Sudoeste;20160;17743;18843,,
412450 Santo Inácio;5501;5039;5245,,
412460 São Carlos do Ivaí;4965;5891;6292,,
412470 São Jerônimo da Serra;13223;11353;11319,,
412480 São João;13549;11189;10561,,
412490 São João do Caiuá;6000;6057;5873,,
412500 São João do Ivaí;16614;13131;11456,,
412510 São João do Triunfo;12262;12248;13571,,
412520 São Jorge d'Oeste;10274;9243;9070,,
412530 São Jorge do Ivaí;6055;5545;5506,,
412535 São Jorge do Patrocínio;9109;6581;6025,,
412540 São José da Boa Vista;8459;6946;6485,,
412545 São José das Palmeiras;5594;4093;3820,,
412550 São José dos Pinhais;126837;203365;263160,,
412555 São Manoel do Paraná;-;2059;2097,,
412560 São Mateus do Sul;32948;36322;41095,,
412570 São Miguel do Iguaçu;24508;24111;25672,,
412575 São Pedro do Iguaçu;-;7248;6472,,
412580 São Pedro do Ivaí;9309;9445;10130,,
412590 São Pedro do Paraná;3243;2736;2486,,
412600 São Sebastião da Amoreira;7803;8433;8572,,
412610 São Tomé;5096;5029;5348,,
412620 Sapopema;7073;6658;6686,,
412625 Sarandi;47833;71175;82716,,
412627 Saudade do Iguaçu;-;4597;5024,,
412630 Sengés;14973;17717;18336,,
412635 Serranópolis do Iguaçu;-;4701;4563,,
412640 Sertaneja;6692;6496;5812,,
412650 Sertanópolis;14227;15105;15577,,
412660 Siqueira Campos;14130;15907;18378,,
412665 Sulina;5196;3881;3387,,
412667 Tamarana;-;9187;12235,,
412670 Tamboara;4576;4255;4662,,
412680 Tapejara;11976;13106;14556,,
412690 Tapira;8448;6260;5798,,
412700 Teixeira Soares;13935;8069;10083,,
412710 Telêmaco Borba;64655;60999;69623,,
412720 Terra Boa;14166;14576;15689,,
412730 Terra Rica;13824;13246;15042,,
412740 Terra Roxa;19668;16182;16651,,
412750 Tibagi;22551;18125;19304,,
412760 Tijucas do Sul;10181;12080;14436,,
412770 Toledo;94487;97893;118855,,
412780 Tomazina;11853;9827;8777,,
412785 Três Barras do Paraná;14828;11517;11752,,
412788 Tunas do Paraná;-;3445;6233,,
412790 Tuneiras do Oeste;11444;9000;8691,,
412795 Tupãssi;8794;8010;7992,,
412796 Turvo;14087;14432;13773,,
412800 Ubiratã;26604;22416;21405,,
412810 Umuarama;99718;90086;99907,,
412820 União da Vitória;43690;48140;52444,,
412830 Uniflor;2662;2345;2460,,
412840 Uraí;13272;11831;11423,,
412853 Ventania;-;7974;9943,,
412855 Vera Cruz do Oeste;11309;9631;8947,,
412860 Verê;10163;8637;7867,,
412865 Virmond;-;3923;3949,,
412870 Vitorino;6438;6031;6484,,
412850 Wenceslau Braz;18718;19402;19153,,
412880 Xambrê;8747;6480;6009,,
420005 Abdon Batista;3231;2704;2644,,
420010 Abelardo Luz;17688;15701;17020,,
420020 Agrolândia;7167;7796;9292,,
420030 Agronômica;3743;4223;4892,,
420040 Água Doce;7127;6761;6921,,
420050 Águas de Chapecó;6369;5735;5950,,
420055 Águas Frias;-;2505;2420,,
420060 Águas Mornas;4611;5383;5526,,
420070 Alfredo Wagner;9751;8851;9353,,
420075 Alto Bela Vista;-;2057;2005,,
420080 Anchieta;9561;7091;6354,,
420090 Angelina;6111;5699;5199,,
420100 Anita Garibaldi;10998;10065;8596,,
420110 Anitápolis;3563;3223;3214,,
420120 Antônio Carlos;5590;6412;7443,,
420125 Apiúna;7666;8397;9547,,
420127 Arabutã;-;4132;4177,,
420130 Araquari;15846;23468;24742,,
420140 Araranguá;48169;54428;60891,,
420150 Armazém;6055;6847;7730,,
420160 Arroio Trinta;3326;3490;3494,,
420165 Arvoredo;-;2277;2244,,
420170 Ascurra;6103;6900;7374,,
420180 Atalanta;3701;3419;3285,,
420190 Aurora;5982;5456;5541,,
420195 Balneário Arroio do Silva;-;5974;9543,,
420205 Balneário Barra do Sul;-;6029;8414,,
420200 Balneário Camboriú;39498;72706;107058,,
420207 Balneário Gaivota;-;5434;8165,,
421280 Balneário Piçarras;7881;10807;17015,,
420208 Bandeirante;-;3171;2899,,
420209 Barra Bonita;-;2077;1872,,
420210 Barra Velha;13182;15470;22292,,
420213 Bela Vista do Toldo;-;5645;5984,,
420215 Belmonte;-;2588;2623,,
420220 Benedito Novo;8368;9033;10299,,
420230 Biguaçu;33872;47710;58022,,
420240 Blumenau;210084;260742;306415,,
420243 Bocaina do Sul;-;2967;3263,,
420250 Bom Jardim da Serra;4145;4058;4379,,
420253 Bom Jesus;-;2013;2517,,
420257 Bom Jesus do Oeste;-;2125;2123,,
420260 Bom Retiro;7221;7959;8881,,
420245 Bombinhas;-;8498;13988,,
420270 Botuverá;4249;3746;4451,,
420280 Braço do Norte;16479;24707;28941,,
420285 Braço do Trombudo;-;3018;3370,,
420287 Brunópolis;-;3325;2849,,
420290 Brusque;57636;75727;104838,,
420300 Caçador;52183;63004;70257,,
420310 Caibi;7289;6310;6145,,
420315 Calmon;-;3410;3385,,
420320 Camboriú;25663;41234;62188,,
420330 Campo Alegre;10024;11553;11665,,
420340 Campo Belo do Sul;12793;7936;7404,,
420350 Campo Erê;25719;10143;9251,,
420360 Campos Novos;42063;28571;32645,,
420370 Canelinha;8136;8993;10578,,
420380 Canoinhas;55149;51407;52390,,
420325 Capão Alto;-;2994;2753,,
420390 Capinzal;13634;19810;20644,,
420395 Capivari de Baixo;-;18554;21662,,
420400 Catanduvas;11883;8142;9515,,
420410 Caxambu do Sul;8532;5254;4405,,
420415 Celso Ramos;3448;2835;2755,,
420417 Cerro Negro;-;4033;3573,,
420419 Chapadão do Lageado;-;2557;2757,,
420420 Chapecó;121693;145681;181671,,
420425 Cocal do Sul;-;13695;15148,,
420430 Concórdia;63862;62651;68300,,
420435 Cordilheira Alta;-;3085;3766,,
420440 Coronel Freitas;11864;10471;10181,,
420445 Coronel Martins;-;2371;2454,,
420455 Correia Pinto;17065;16822;14595,,
420450 Corupá;10315;11733;13795,,
420460 Criciúma;145748;169681;190356,,
420470 Cunha Porã;10714;10090;10553,,
420475 Cunhataí;-;1817;1871,,
420480 Curitibanos;41723;35886;37468,,
420490 Descanso;16853;9050;8615,,
420500 Dionísio Cerqueira;13521;14052;14734,,
420510 Dona Emma;3616;3168;3699,,
420515 Doutor Pedrinho;2991;3040;3598,,
420517 Entre Rios;-;2760;3018,,
420519 Ermo;-;2047;2030,,
420520 Erval Velho;4625;4092;4338,,
420530 Faxinal dos Guedes;9145;10720;10638,,
420535 Flor do Sertão;-;1611;1583,,
420540 Florianópolis;252170;339063;417459,,
420543 Formosa do Sul;-;2693;2595,,
420545 Forquilhinha;14024;18253;22461,,
420550 Fraiburgo;26178;31881;34434,,
420555 Frei Rogério;-;2821;2473,,
420560 Galvão;7026;4216;3470,,
420570 Garopaba;9863;13051;18003,,
420580 Garuva;8606;11323;14667,,
420590 Gaspar;35394;46296;57765,,
420600 Governador Celso Ramos;9601;11579;12983,,
420610 Grão Pará;5362;5800;6198,,
420620 Gravatal;8262;10714;10611,,
420630 Guabiruba;9898;12943;18412,,
420640 Guaraciaba;12423;10981;10468,,
420650 Guaramirim;17454;23640;35078,,
420660 Guarujá do Sul;4752;4679;4896,,
420665 Guatambú;-;4602;4676,,
420670 Herval d'Oeste;17681;20016;21191,,
420675 Ibiam;-;1869;1939,,
420680 Ibicaré;3935;3572;3361,,
420690 Ibirama;13718;15529;17266,,
420700 Içara;37875;48513;58653,,
420710 Ilhota;9433;10530;12341,,
420720 Imaruí;15392;13324;11646,,
420730 Imbituba;30814;35462;39736,,
420740 Imbuia;4607;5244;5683,,
420750 Indaial;30064;40112;54677,,
420757 Iomerê;-;2539;2727,,
420760 Ipira;4760;4953;4733,,
420765 Iporã do Oeste;7637;7767;8373,,
420768 Ipuaçu;-;6052;6795,,
420770 Ipumirim;7177;6828;7155,,
420775 Iraceminha;5669;4542;4244,,
420780 Irani;7546;8224;9497,,
420785 Irati;-;2197;2096,,
420790 Irineópolis;9666;9694;10337,,
420800 Itá;8191;6706;6400,,
420810 Itaiópolis;25804;18943;20247,,
420820 Itajaí;118873;146568;182491,,
420830 Itapema;12021;25757;45592,,
420840 Itapiranga;21182;13921;15309,,
420845 Itapoá;3943;8665;14651,,
420850 Ituporanga;21052;19406;22119,,
420860 Jaborá;4401;4192;4037,,
420870 Jacinto Machado;11504;10862;10599,,
420880 Jaguaruna;18388;14511;17262,,
420890 Jaraguá do Sul;76171;107941;142251,,
420895 Jardinópolis;-;1986;1760,,
420900 Joaçaba;27883;23935;26851,,
420910 Joinville;344946;428025;512186,,
420915 José Boiteux;4042;4572;4711,,
420917 Jupiá;-;2120;2146,,
420920 Lacerdópolis;2072;2154;2196,,
420930 Lages;150433;156984;156059,,
420940 Laguna;44698;47352;51436,,
420945 Lajeado Grande;-;1506;1488,,
420950 Laurentino;4259;5004;5955,,
420960 Lauro Muller;13888;13561;14341,,
420970 Lebon Régis;10620;11386;11816,,
420980 Leoberto Leal;4265;3722;3334,,
420985 Lindóia do Sul;5267;4860;4624,,
420990 Lontras;7490;8326;10224,,
421000 Luiz Alves;6407;7955;10362,,
421003 Luzerna;-;5555;5577,,
421005 Macieira;-;1898;1803,,
421010 Mafra;46724;49703;52596,,
421020 Major Gercino;3759;3128;3276,,
421030 Major Vieira;7223;6880;7444,,
421040 Maracajá;4617;5490;6352,,
421050 Maravilha;23811;18466;21931,,
421055 Marema;6560;2618;2203,,
421060 Massaranduba;11090;12473;14644,,
421070 Matos Costa;4502;3014;2833,,
421080 Meleiro;9711;7069;6979,,
421085 Mirim Doce;-;2578;2504,,
421090 Modelo;9660;3909;4007,,
421100 Mondaí;16382;8678;9947,,
421105 Monte Carlo;-;8419;9284,,
421110 Monte Castelo;8528;8267;8319,,
421120 Morro da Fumaça;12357;14543;16087,,
421125 Morro Grande;-;2908;2888,,
421130 Navegantes;23453;39169;60373,,
421140 Nova Erechim;3084;3471;4265,,
421145 Nova Itaberaba;-;4150;4259,,
421150 Nova Trento;8989;9809;12145,,
421160 Nova Veneza;10324;11416;13218,,
421165 Novo Horizonte;-;3090;2738,,
421170 Orleans;19922;19914;21374,,
421175 Otacílio Costa;14550;13882;16318,,
421180 Ouro;6952;7366;7332,,
421185 Ouro Verde;-;2342;2266,,
421187 Paial;-;2052;1757,,
421189 Painel;-;2352;2353,,
421190 Palhoça;67972;101937;136712,,
421200 Palma Sola;8181;7925;7711,,
421205 Palmeira;-;2019;2373,,
421210 Palmitos;17665;15974;15960,,
421220 Papanduva;16175;16772;17874,,
421223 Paraíso;-;4763;4023,,
421225 Passo de Torres;-;4365;6584,,
421227 Passos Maia;-;4251;4404,,
421230 Paulo Lopes;5530;5867;6670,,
421240 Pedras Grandes;5059;4892;4094,,
421250 Penha;13070;17479;24992,,
421260 Peritiba;3180;3229;2985,,
421270 Petrolândia;7050;6397;6128,,
421290 Pinhalzinho;10626;12343;16248,,
421300 Pinheiro Preto;2364;2724;3121,,
421310 Piratuba;4799;4804;4768,,
421315 Planalto Alegre;-;2449;2647,,
421320 Pomerode;18712;22083;27565,,
421330 Ponte Alta;4710;5153;4885,,
421335 Ponte Alta do Norte;-;3173;3297,,
421340 Ponte Serrada;12204;10301;10929,,
421350 Porto Belo;11494;10631;16033,,
421360 Porto União;29708;31733;33301,,
421370 Pouso Redondo;11297;11954;14736,,
421380 Praia Grande;7555;7253;7228,,
421390 Presidente Castello Branco;1796;2149;1715,,
421400 Presidente Getúlio;11289;12219;14788,,
421410 Presidente Nereu;2775;2283;2258,,
421415 Princesa;-;2588;2731,,
421420 Quilombo;18959;10693;10171,,
421430 Rancho Queimado;2359;2615;2722,,
421440 Rio das Antas;5725;6072;6128,,
421450 Rio do Campo;6802;6402;6179,,
421460 Rio do Oeste;6925;6651;6972,,
421480 Rio do Sul;45348;51321;60692,,
421470 Rio dos Cedros;8610;8897;10243,,
421490 Rio Fortuna;4166;4308;4436,,
421500 Rio Negrinho;28035;37517;39769,,
421505 Rio Rufino;-;2268;2411,,
421507 Riqueza;-;5123;4828,,
421510 Rodeio;9283;10295;10865,,
421520 Romelândia;9356;6477;5522,,
421530 Salete;7087;7129;7338,,
421535 Saltinho;-;4120;3928,,
421540 Salto Veloso;3506;3910;4284,,
421545 Sangão;-;8054;10352,,
421550 Santa Cecília;12527;14630;15725,,
421555 Santa Helena;-;2585;2381,,
421560 Santa Rosa de Lima;1896;2007;2059,,
421565 Santa Rosa do Sul;7227;7704;8014,,
421567 Santa Terezinha;-;8696;8742,,
421568 Santa Terezinha do Progresso;-;3368;2892,,
421569 Santiago do Sul;-;1690;1465,,
421570 Santo Amaro da Imperatriz;13343;15620;19708,,
421580 São Bento do Sul;50040;65223;74532,,
421575 São Bernardino;-;3136;2670,,
421590 São Bonifácio;3344;3202;2994,,
421600 São Carlos;12092;9323;10187,,
421605 São Cristovão do Sul;-;4078;4312,,
421610 São Domingos;13873;9464;9376,,
421620 São Francisco do Sul;29395;31995;42273,,
421630 São João Batista;12724;14813;26034,,
421635 São João do Itaperiú;-;3112;3415,,
421625 São João do Oeste;-;5725;6023,,
421640 São João do Sul;8958;6716;6987,,
421650 São Joaquim;22258;22717;24757,,
421660 São José;138194;172363;208739,,
421670 São José do Cedro;17532;13653;13616,,
421680 São José do Cerrito;11404;10310;9198,,
421690 São Lourenço do Oeste;23067;19551;21665,,
421700 São Ludgero;5989;8578;10925,,
421710 São Martinho;3365;3245;3207,,
421715 São Miguel da Boa Vista;-;2006;1886,,
421720 São Miguel do Oeste;41757;32219;36129,,
421725 São Pedro de Alcântara;-;3517;3381,,
421730 Saudades;9048;8202;8992,,
421740 Schroeder;6594;10787;15258,,
421750 Seara;17974;16404;16880,,
421755 Serra Alta;3824;3248;3254,,
421760 Siderópolis;13376;12046;12980,,
421770 Sombrio;22155;22735;26512,,
421775 Sul Brasil;-;3057;2756,,
421780 Taió;19267;16046;17026,,
421790 Tangará;11694;8733;8651,,
421795 Tigrinhos;-;1876;1752,,
421800 Tijucas;19505;23265;30701,,
421810 Timbé do Sul;5691;5280;5281,,
421820 Timbó;23439;29300;36642,,
421825 Timbó Grande;4883;6117;7142,,
421830 Três Barras;15498;17066;18081,,
421835 Treviso;-;3081;3518,,
421840 Treze de Maio;6100;6705;6854,,
421850 Treze Tílias;4012;4803;6316,,
421860 Trombudo Central;8277;5748;6496,,
421870 Tubarão;94740;88104;96795,,
421875 Tunápolis;5479;4768;4615,,
421880 Turvo;12426;10835;11809,,
421885 União do Oeste;7125;3369;2909,,
421890 Urubici;11396;10160;10668,,
421895 Urupema;2461;2500;2472,,
421900 Urussanga;29813;18501;20195,,
421910 Vargeão;2723;3480;3522,,
421915 Vargem;-;3103;2805,,
421917 Vargem Bonita;-;5014;4774,,
421920 Vidal Ramos;7576;6240;6198,,
421930 Videira;35409;41354;46909,,
421935 Vitor Meireles;6192;5477;5163,,
421940 Witmarsum;3623;3211;3560,,
421950 Xanxerê;37392;37156;43626,,
421960 Xavantina;4957;4378;4134,,
421970 Xaxim;20888;22635;25649,,
421985 Zortéa;-;2626;2975,,
430003 Aceguá;-;-;4355,,
430005 Água Santa;4029;4110;3705,,
430010 Agudo;16588;17303;16546,,
430020 Ajuricaba;11014;7640;7209,,
430030 Alecrim;10361;8443;7022,,
430040 Alegrete;78588;83560;76987,,
430045 Alegria;6239;5352;4287,,
430047 Almirante Tamandaré do Sul;-;-;2062,,
430050 Alpestre;13550;10191;8011,,
430055 Alto Alegre;2129;2103;1839,,
430057 Alto Feliz;-;2830;2911,,
430060 Alvorada;141692;183239;194909,,
430063 Amaral Ferrador;5901;5719;6285,,
430064 Ametista do Sul;-;7413;7299,,
430066 André da Rocha;1042;1108;1216,,
430070 Anta Gorda;6865;6303;6030,,
430080 Antônio Prado;10957;12893;12800,,
430085 Arambaré;-;3869;3673,,
430087 Araricá;-;3982;4858,,
430090 Aratiba;10684;7075;6540,,
430100 Arroio do Meio;18790;16836;18655,,
430107 Arroio do Padre;-;-;2719,,
430105 Arroio do Sal;2943;5136;7688,,
430120 Arroio do Tigre;15556;11968;12619,,
430110 Arroio dos Ratos;11771;13314;13599,,
430130 Arroio Grande;17972;18839;18395,,
430140 Arvorezinha;12599;10250;10167,,
430150 Augusto Pestana;8581;8150;7071,,
430155 Áurea;7391;3861;3647,,
430160 Bagé;116042;117893;116116,,
430163 Balneário Pinhal;-;7224;10815,,
430165 Barão;6778;5380;5734,,
430170 Barão de Cotegipe;7343;6887;6511,,
430175 Barão do Triunfo;-;6592;6993,,
430185 Barra do Guarita;-;2985;3073,,
430187 Barra do Quaraí;-;3810;3967,,
430190 Barra do Ribeiro;11622;11663;12489,,
430192 Barra do Rio Azul;-;2412;1999,,
430195 Barra Funda;-;2225;2354,,
430180 Barracão;6219;5568;5339,,
430200 Barros Cassal;13198;11220;10990,,
430205 Benjamin Constant do Sul;-;2716;2299,,
430210 Bento Gonçalves;78231;91175;106632,,
430215 Boa Vista das Missões;-;2184;2111,,
430220 Boa Vista do Buricá;9020;6530;6480,,
430222 Boa Vista do Cadeado;-;-;2438,,
430223 Boa Vista do Incra;-;-;2400,,
430225 Boa Vista do Sul;-;2828;2772,,
430230 Bom Jesus;16134;11978;11474,,
430235 Bom Princípio;7389;9459;11753,,
430237 Bom Progresso;-;2800;2328,,
430240 Bom Retiro do Sul;11406;10744;11408,,
430245 Boqueirão do Leão;7305;7786;7628,,
430250 Bossoroca;7934;7554;6871,,
430258 Bozano;-;-;2197,,
430260 Braga;4920;4188;3670,,
430265 Brochier;6062;4329;4641,,
430270 Butiá;25473;20252;20364,,
430280 Caçapava do Sul;34416;34460;33502,,
430290 Cacequi;15769;15240;13584,,
430300 Cachoeira do Sul;88511;87292;83031,,
430310 Cachoeirinha;87983;107088;117995,,
430320 Cacique Doble;5680;4751;4865,,
430330 Caibaté;7800;7222;4932,,
430340 Caiçara;6116;5554;5036,,
430350 Camaquã;61447;59879;62077,,
430355 Camargo;2526;2455;2589,,
430360 Cambará do Sul;7035;6825;6513,,
430367 Campestre da Serra;-;3107;3233,,
430370 Campina das Missões;8031;7010;6088,,
430380 Campinas do Sul;8529;8228;5475,,
430390 Campo Bom;47718;53869;59551,,
430400 Campo Novo;9376;6684;5435,,
430410 Campos Borges;3836;3771;3484,,
430420 Candelária;27878;29463;29922,,
430430 Cândido Godói;7449;7067;6506,,
430435 Candiota;-;7868;8747,,
430440 Canela;24397;33395;38857,,
430450 Canguçu;50141;51031;53009,,
430460 Canoas;278037;304976;322823,,
430461 Canudos do Vale;-;-;1802,,
430462 Capão Bonito do Sul;-;-;1753,,
430463 Capão da Canoa;24529;30279;41903,,
430465 Capão do Cipó;-;-;3098,,
430466 Capão do Leão;18760;23675;24194,,
430468 Capela de Santana;7243;10000;11608,,
430469 Capitão;-;2564;2630,,
430467 Capivari do Sul;-;3041;3864,,
430471 Caraá;-;6392;7292,,
430470 Carazinho;58265;59510;58808,,
430480 Carlos Barbosa;15848;20451;25050,,
430485 Carlos Gomes;-;1899;1606,,
430490 Casca;10212;8359;8636,,
430495 Caseiros;2839;2826;2995,,
430500 Catuípe;10961;10059;9299,,
430510 Caxias do Sul;288785;357879;433266,,
430511 Centenário;-;3124;2958,,
430512 Cerrito;-;6915;6215,,
430513 Cerro Branco;3858;4260;4434,,
430515 Cerro Grande;2966;2592;2415,,
430517 Cerro Grande do Sul;8010;8192;10223,,
430520 Cerro Largo;18765;12524;13067,,
430530 Chapada;10463;9736;9367,,
430535 Charqueadas;23296;27098;30579,,
430537 Charrua;-;3783;3467,,
430540 Chiapetta;6602;4425;4029,,
430543 Chuí;-;4963;5860,,
430544 Chuvisca;-;4431;4923,,
430545 Cidreira;8820;8804;12616,,
430550 Ciríaco;7131;5182;4919,,
430558 Colinas;-;2462;2419,,
430560 Colorado;4377;4024;3548,,
430570 Condor;6416;6438;6540,,
430580 Constantina;15012;11625;9735,,
430583 Coqueiro Baixo;-;-;1526,,
430585 Coqueiros do Sul;-;2665;2452,,
430587 Coronel Barros;-;2433;2453,,
430590 Coronel Bicaco;9547;8355;7723,,
430593 Coronel Pilar;-;-;1723,,
430595 Cotiporã;4123;4066;3909,,
430597 Coxilha;-;2966;2816,,
430600 Crissiumal;18091;15109;14010,,
430605 Cristal;6048;6569;7240,,
430607 Cristal do Sul;-;2867;2825,,
430610 Cruz Alta;68224;70631;62340,,
430613 Cruzaltense;-;-;2135,,
430620 Cruzeiro do Sul;10752;11580;12236,,
430630 David Canabarro;5056;4723;4681,,
430632 Derrubadas;-;3711;3185,,
430635 Dezesseis de Novembro;3828;3430;2863,,
430637 Dilermando de Aguiar;-;3193;3059,,
430640 Dois Irmãos;18777;22320;27435,,
430642 Dois Irmãos das Missões;-;2358;2152,,
430645 Dois Lajeados;5604;3219;3272,,
430650 Dom Feliciano;12301;13207;14277,,
430660 Dom Pedrito;37875;40159;38483,,
430655 Dom Pedro de Alcântara;-;2625;2543,,
430670 Dona Francisca;3561;3878;3393,,
430673 Doutor Maurício Cardoso;7203;6320;5296,,
430675 Doutor Ricardo;-;2092;2017,,
430676 Eldorado do Sul;17638;27055;34115,,
430680 Encantado;18050;18405;20397,,
430690 Encruzilhada do Sul;21244;23684;24331,,
430692 Engenho Velho;-;2134;1525,,
430695 Entre Rios do Sul;4027;3466;3072,,
430693 Entre-Ijuís;9947;9660;8869,,
430697 Erebango;3203;3023;2969,,
430700 Erechim;71846;89865;95236,,
430705 Ernestina;3812;3936;3071,,
430720 Erval Grande;7225;5639;5137,,
430730 Erval Seco;12976;9126;7850,,
430740 Esmeralda;5773;5433;3160,,
430745 Esperança do Sul;-;3745;3248,,
430750 Espumoso;16839;15997;15013,,
430755 Estação;5521;6227;6006,,
430760 Estância Velha;28027;34994;42437,,
430770 Esteio;70297;79838;80370,,
430780 Estrela;26404;27214;30486,,
430781 Estrela Velha;-;3589;3625,,
430783 Eugênio de Castro;3541;3277;2776,,
430786 Fagundes Varela;2528;2448;2578,,
430790 Farroupilha;45026;55148;63242,,
430800 Faxinal do Soturno;9013;6779;6651,,
430805 Faxinalzinho;3081;2914;2560,,
430807 Fazenda Vilanova;-;2820;3684,,
430810 Feliz;15476;11242;12322,,
430820 Flores da Cunha;19643;23559;26997,,
430825 Floriano Peixoto;-;2355;2004,,
